Record ID,Gplus_URL,Location_Name,Address_Or_Intersection,City,State_Or_Province,ZIP_Or_Postal_Code,Country,Address2,Business_Phone,Fax,Cell_Phone,IPhone_And_Access,Wireless_Phones_Access,PAYGO_Phones_Access,PAYGO_Cards,Wireless_Products_Access,Messaging_Paging_Access,Internet_Service,Cable_TV,Digital_TV,Ignite_TV,Ignite_bundle_changes,Ignite_demo,RV_Sales_Rentals,MyHome_Advantage,Cellular_Repair,Phone_Upgrades,Car_Phone_Installation,Wireless_Accepts_CC_Cheq,Wireless_Accepts_Cash,Cable_Accepts_CC_Cheq,Cable_Accepts_Cash,Wireless_Accepts_Credit,Cable_Accepts_Credit,Pickup_Return_Dig_Equipmt,Pickup_Exch_Int_Modem,Messaging_Paging_HW_Exch,Home_Phone_Sales,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Intersection,Movies_And_Games_For_Rent,Hi_Def_For_Sale,Hi_Def_For_Rent,Games_For_Sale,Rogers_Portable_Internet,Rogers_Video_Store,Rogers_Plus_Store,Store_Name,Business_Voice_Data,Wireless_Business,Face_To_Face,Wireless_Content_Transfer,Rocket_Stick,Netbook_wRocketMobileInt,Rocket_Hub,Rocket_Mobile_Hotspot,Ipad_Microsims,MicroSIMs,Biz_Wireless,Biz_Internet_TV,Biz_Phone,Biz_Specialist_Available,Customer_Learning_WIR,Customer_Learning_Cable,Trade_Up,Wireless_HP,Smart_Home_Monitoring,Device_tuneup,Rogers_Credit_Cards,Corporate_Store,Latitude,Longitude
1998,http://maps.google.ca/maps/place?hl=en&cid=-6293920963712823749,Rogers,"115 First Street,",Collingwood,ON,L9Y 1A5,CA,,(705) 444-2318,(705) 444-8527,,Y,Y,Y,Y,Y,N,Y,Y,Y,,,,N,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,Y,9:00AM - 8:00PM,9:00AM - 8:00PM,9:00AM - 8:00PM,9:00AM - 8:00PM,9:00AM - 8:00PM,10:00AM - 6:00PM,12:00PM - 5:00PM,1st Street - Birch St,N,N,N,N,N,N,N,Collingwood,N,N,N,N,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,44.502487,-80.220872
2001,http://maps.google.ca/maps/place?hl=en&cid=6157449267027768062,Rogers,"9200 Bathurst St, Unit 26,",Thornhill,ON,L4J 8W1,CA,,(905) 889-7831,(905) 881-6410,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 6:00PM,10:00AM - 5:00PM,Bathurst St - Carville Rd,N,N,N,N,Y,N,Y,RUTHERFORD ROAD,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,43.848313,-79.459085
2003,http://maps.google.ca/maps/place?hl=en&cid=5306293608651255319,Rogers,"333 King St E,",Toronto,ON,M5A 3X5,CA,,(647) 748-1333,(416) 955-9843,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 6:00PM,11:00AM - 5:00PM,KING ST E -  BERKELEY ST,N,N,N,N,Y,N,N,KING EAST,N,N,N,N,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,43.6513164,-79.3662814
2008,http://maps.google.ca/maps/place?hl=en&cid=-7367554131475481494,Rogers,"1225 Wonderland Rd N,",London,ON,N6G 2V9,CA,Sherwood Forest Plaza,(519) 472-5442,(519) 472-0357,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 6:00PM,12:00PM - 5:00PM,Gainsborough - Wonderland Rd. N,N,N,N,N,Y,N,N,Gainsborough,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,43.005002,-81.30333
2009,http://maps.google.ca/maps/place?hl=en&cid=-6177489074631395031,Rogers,"1250 Eglinton Ave W, Unit A16,",Mississauga,ON,L5V 1N3,CA,Roseborough Centre,(905) 814-9685,(905) 814-1297,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 6:00PM,12:00PM - 5:00PM,Eglinton - Creditview,N,N,N,N,N,N,N,Roseborough,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,43.579208,-79.683835
2029,http://maps.google.ca/maps/place?hl=en&cid=-4746449856462981459,Rogers,"1500 Upper Middle Rd,",Oakville,ON,L6M 3G3,CA,,(905) 827-1460,,,Y,Y,Y,Y,Y,N,N,N,N,,,,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 6:00PM,12:00PM - 5:00PM,Upper Middle Rd W - Bishops Gate,N,N,N,N,N,N,N,Abbey,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,N,N,N,Y,Y,43.43761,-79.7431
2039,http://maps.google.ca/maps/place?hl=en&cid=5809968668940473308,Rogers,"16 Lisa Street, Unit A2,",Brampton,ON,L6T 5R2,CA,,(905) 453-3799,(905) 453-9345,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 6:00PM,12:00PM - 5:00PM,Dixie Road - Queen Street,N,N,N,N,N,N,N,Lisa Street,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,43.712049,-79.727164
2046,http://maps.google.ca/maps/place?hl=en&cid=5048840308288858395,Rogers,"1675 10th Line Rd,",Orleans,ON,K1E 3P6,CA,,(613) 841-8485,(613) 841-8779,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 6:00PM,12:00PM - 5:00PM,10th Line Rd - Charlemagne Blvd,N,N,N,N,Y,N,N,Cumberland,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,45.46786,-75.49201
2076,http://maps.google.ca/maps/place?hl=en&cid=6951288038769064327,Rogers,"2060 Queen St E,",Toronto,ON,M4E 1C9,CA,,(416) 694-6945,,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 6:00PM,11:00AM - 5:00PM,Queen St E - Hammersmith Ave,N,N,N,N,Y,N,N,Beaches,N,N,N,N,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,43.67123,-79.29446
2094,http://maps.google.ca/maps/place?hl=en&cid=4622879452327425657,Rogers,"2490 Gerrard Street East,",Toronto,ON,M1N 1W8,CA,,(416) 699-1465,(416) 699-3780,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 6:00PM,11:00AM - 5:00PM,Victoria Park - Gerrard,N,N,N,N,Y,N,Y,Victoria Park,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,43.68744,-79.28395
2112,http://maps.google.ca/maps/place?hl=en&cid=-6622661002129598808,Rogers,"499 Terry Fox Drive, Unit 1,",Ottawa,ON,K2T 1H7,CA,,(613) 595-1760,(613) 595-1883,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,10:00AM - 6:00PM,10:00AM - 6:00PM,10:00AM - 6:00PM,10:00AM - 6:00PM,10:00AM - 6:00PM,10:00AM - 6:00PM,12:00PM - 5:00PM,Campeau Drive - Terry Fox Drive,Y,N,N,N,N,N,Y,Signature Centre,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,45.30994,-75.912
2140,http://maps.google.ca/maps/place?hl=en&cid=1552096885681520575,Rogers,"38 Ellesmere Rd,",Scarborough,ON,M1R 4C1,CA,,(416) 449-0276,(416) 449-1183,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 6:00PM,11:00AM - 5:00PM,Ellesmere Rd - Victoria Park Ave,N,N,N,N,Y,N,N,Ellesmere,N,N,N,N,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,43.758264,-79.313588
2153,http://maps.google.ca/maps/place?hl=en&cid=-2835606773447677096,Rogers,"850 Main Street East, Unit 9A,",Milton,ON,L9T 0J4,CA,,(905) 636-6130,,,Y,Y,Y,Y,Y,N,N,N,N,,,,N,N,Y,Y,N,Y,Y,N,N,Y,,N,N,N,N,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 6:00PM,11:00AM - 5:00PM,Main St. East / Thompson Rd. S,N,N,N,N,Y,N,Y,MILTON COMMON,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,43.52555,-79.86973
2159,http://maps.google.ca/maps/place?hl=en&cid=-7335702561816005311,Rogers,"2515 Bank Street, Unit 5,",Ottawa,ON,K1V 8R9,CA,,(613) 739-4775,(613) 260-3395,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 6:00PM,12:00PM - 5:00PM,Bank Street - Huntclub,N,N,N,N,Y,N,N,Bank,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,45.353934,-75.644237
2161,http://maps.google.ca/maps/place?hl=en&cid=-7758115824730974404,Rogers,"232 Stewart Greene SW,",Calgary,AB,T3H 3C8,CA,Westhills Shopping Centre,(403) 246-7333,,,Y,Y,Y,Y,Y,N,N,N,N,,,,N,N,Y,Y,N,Y,Y,N,N,Y,,N,N,N,N,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 6:00PM,12:00PM - 5:00PM,Sarcee Trail - Richmond Rd,N,N,N,N,Y,N,N,Sarcee,N,N,N,N,Y,N,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,51.014234,-114.16907
2175,http://maps.google.ca/maps/place?hl=en&cid=-1234969611233304675,Rogers,"4553 Hurontario St, Unit E1A,",Mississauga,ON,L4Z 3M1,CA,Mississauga Marketplace,(905) 568-8160,(905) 568-8918,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 6:00PM,11:00AM - 5:00PM,Hurontario Street - Eglinton Ave W,N,N,N,N,N,N,N,,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,43.605737,-79.650604
2188,http://maps.google.ca/maps/place?hl=en&cid=7159778636076029600,Rogers,"660 Eglinton Ave E, Unit 104,",Toronto,ON,M4G 2K2,CA,,(416) 486-8011,(416) 480-2732,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 6:00PM,11:00AM - 5:00PM,Eglinton Ave E - Bayview Ave,N,N,N,N,Y,N,N,Sunnybrook,N,N,N,N,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,43.7112,-79.37653
2193,http://maps.google.ca/maps/place?hl=en&cid=3165235816098297832,Rogers,"705-709 Dundas Street West,",Woodstock,ON,N4S 6Z2,CA,,(519) 421-3127,(519) 421-3127,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 6:00PM,12:00PM - 5:00PM,Dundas - Huron,N,N,N,N,N,N,N,Woodstock,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,43.131548,-80.746764
2199,http://maps.google.ca/maps/place?hl=en&cid=-902458013115267491,Rogers,"730 Danforth Ave, Unit B",Toronto,ON,M4J 1L5,CA,,(416) 406-3441,(416) 406-3441,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 6:00PM,11:00AM - 5:00PM,Pape - Danforth,N,N,N,N,Y,N,N,Danforth,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,43.67947,-79.34284
2587,http://maps.google.ca/maps/place?hl=en&cid=-1382054976604883522,Rogers,"250 The East Mall, Kiosk 316,",Etobicoke,ON,M9B 3Y8,CA,Cloverdale Mall,(416) 231-5973,(416) 231-5247,,Y,Y,Y,Y,Y,N,N,N,N,,,,N,N,Y,Y,N,Y,Y,Y,Y,Y,,N,N,N,Y,10:00AM - 9:00PM ,10:00AM - 9:00PM ,10:00AM - 9:00PM ,10:00AM - 9:00PM ,10:00AM - 9:00PM ,9:30AM - 6:00PM,11:00AM - 5:00PM,The East Mall - Dundas St W,N,N,N,N,N,N,Y,Cloverdale,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,43.63135,-79.55239
8226,http://maps.google.ca/maps/place?hl=en&cid=-5254773177783868261,Rogers,"9402 135th Avenue North West, Unit 104A,",Edmonton,AB,T5E 5R9,CA,Northgate Mall,(780) 475-2724,(780) 472-0393,,Y,Y,Y,Y,Y,N,N,N,N,,,,N,N,Y,Y,N,Y,Y,N,N,Y,,N,N,N,N,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,9:30AM - 5:30PM,12:00PM - 5:00PM,135th Ave NW - 97St NW,N,N,N,N,Y,N,Y,Northgate Mall,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,53.59679,-113.48635
8254,http://maps.google.ca/maps/place?hl=en&cid=3244666344653401514,Rogers,"84 Lynden Rd, Unit F11,",Brantford,ON,N3R 6B8,CA,Lynden Park Mall,(519) 770-0389,(519) 770-0936,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,9:30AM - 6:00PM,12:00PM - 5:00PM,Wayne Gretzky Parkway - Lynden Rd,N,N,N,N,Y,N,Y,Lynden Park Mall,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,43.17314,-80.24353
8278,http://maps.google.ca/maps/place?hl=en&cid=6045897848112508289,Rogers,"701 West Georgia Street, Unit D071A,",Vancouver,BC,V7Y 1G5,CA,Pacific Centre,(604) 801-5292,(604) 801-5293,,Y,Y,Y,Y,Y,N,N,N,N,,,,N,N,Y,Y,N,Y,Y,N,N,Y,,N,N,N,N,10:00AM - 7:00PM,10:00AM - 7:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 8:00PM,11:00AM - 7:00PM,West Georgia - Granville,N,N,N,N,Y,N,Y,Pacific Centre,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,49.283211,-123.117325
